numero_cta,nivel,tipo_cta,nombre
17060000,3,1,TECNOLOGIA DE INFORMACION
17060062,4,1,TECNOLOGIA DE INFORMACION CATEGORIA
17060068,4,1,TECNOLOGIA DE INFORMACION TRANSITO
17070000,3,1,MEJORAS  OCOA
17070021,4,1,EDIFICIOS
17070022,4,1,EDIFICIO HERRERA
17070033,4,1,MAQUINARIAS Y EQUIPOS CATEGORIA II
17070042,4,1,MOBILIARIOS Y EQUIPOS-CATEGORIA II
17070043,4,1,MOBILIARIOS Y EQUIPOS-CATEGORIA III
17070052,4,1,VEHICULOS DE MOTOR CATEGORIA II
17070053,4,1,VEHICULOS DE MOTOR CATEGORIA III
17070062,4,1,TECNOLOGIA DE INFORMACION
1708,2,1,REVALUACIONES
17080010,3,1,REVALUACION TERRENO HERRERA
17080011,3,1,REVALUACION TERRENO OCOA
17080021,3,1,REVALUACION EDIFICIO HERRERA
17080022,3,1,REVALUACION EDIFICIO OCOA
18000000,2,1,Depreciaciones
18020000,3,1,DEP[RECIACION EDIFICACIONES   OCOA
18020021,4,1,EDIFICACIONES-CATEGORIA I
18030000,3,1,DEPRECIACION MAQUINARIAS Y EQUIPOS
18030033,4,1,MAQUINARIAS Y EQUIPOS CATEGORIA III
18040000,3,1,DEPRECIACION MOBILIARIOS Y EQUIPOS
18040042,4,1,MOBILIARIOS Y EQUIPOS-CATEGORIA II
18040043,4,1,MOBILIARIOS Y EQUIPOS-CATEGORIA III
18050000,3,1,DEPRECIACION VEHICULOS DE MOTOR OCO
18050052,4,1,VEHICULOS DE MOTOR CATEGORIA II
18050053,4,1,VEHICULOS DE MOTOR CATEGORIA III
18060000,3,1,DEPRECIACION TECNOLOGIA DE INFORMAC
18060062,4,1,TECNOLOGIA DE INFORMACION CATEGORIA
19000000,2,1,Activos Diferidos
19010000,3,1,FIANZAS Y DEPOSITOS
19010001,4,1,C D E
19010002,4,1,CODETEL
19010003,4,1,SEGURO SOCIAL
19010004,4,1,CAASD
19010005,4,1,LOTE DE MONEDAS CONMEMORATIVAS
19010006,4,1,CUADROS PARA OFICINAS
19010007,4,1,SISTEMA DE COMUNICACION
19010008,4,1,DOMINICAN WATCHMAN NATIONAL
19010009,4,1,FIANZA CONTINGENCIAS LABORALES
19020000,3,1,OTROS PAGOS DIFERIDOS
19020001,4,1,GASTOS DE ORGANIZACION
19020002,4,1,MEJORAS EN PROPIEDAD AJENA
19020003,4,1,EMPALIZADA GALION
19020004,4,1,MEJORAS EN PROPIEDADES (FINCAS)
19020005,4,1,MEJORA PROPIEDADES OCOA
20000000,1,2,Pasivos
21000000,2,2,Prestamos y Documentos por Pagar Corto Plazo
21010000,3,2,PRESTAMOS BANCARIOS EN RD$
21010001,4,2,BANCO DE RESERVAS
21010002,4,2,BANCO DEL PROGRESO
21010003,4,2,BANCO POPULAR(PREST.PIGNORADO)
21010004,4,2,BANCO NOVA SCOTIA
21010005,4,2,BANCO POPULAR LA VEGA (OBLIG)
21010006,4,2,BANCO BHD, S.A
21010007,4,2,ASOCIACION LA VEGA REAL
21010008,4,2,BCO.POPULAR
21010009,4,2,BCO.RESERVAS
21010010,4,2,BANCO UNION
21010011,4,2,BCO. POPULAR (PREST.PIGNORADO)
21010012,4,2,BCO. POPULAR (PREST.PIGNORADO)
21010013,4,2,BCO.RESERVAS (PREST.PIGNORADO)
21010014,4,2,BANCO MERCANTIN (PIGNORADO)
21010015,4,2,COTISA
21020000,3,2,PRESTAMOS BANCARIOS EN US$
21020001,4,2,BANCO NOVA SCOTIA N.Y. (US$)
21020002,4,2,BANCO BHD, S.A (US$)
